ji	leftside	ji	leftside	tʰeŋ	dry	tʰur	sour	tʰum	hide
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
wat	angry (hear is bursting)	ði	water	rɐŋ	alive/be living	si	buffalo	rɐt	heavy
kʰuk	knee	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰuk	deep
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰur	sour	tʰuk	deep
we	mother	we	mother	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
kʰuk	knee	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
ko	thin	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
kʰə	laugh	kʰə	laugh	ni	laugh	kʰuk	knee	tʰok	fast/quick
lo	shadow	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
tʰeŋ	dry	tʰur	sour	tʰar	new	tʰum	hide	kʰum	back
ki	bite	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰur	sour
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
ke	head	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
wu	go	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
wat	angry (hear is bursting)	ði	water	rɐŋ	alive/be living	si	buffalo	rɐt	heavy
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
ʃu	dove	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
wat	angry (hear is bursting)	lwe	forget	ði	water	rɐŋ	alive/be living	si	buffalo
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
kʰur	anus	wat	angry (hear is bursting)	lwe	forget	ði	water	rɐŋ	alive/be living
tʰar	new	wat	angry (hear is bursting)	lwe	forget	ði	water	si	buffalo
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
pot	soft	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
no	child	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
we	eat (fruit)	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
vu	father-in-law	vu	father-in-law	kʰuk	knee	tʰak	kick	tʰɐk	lung/chest
tʰeŋ	dry	tʰur	sour	tʰar	new	tʰum	hide	kʰum	back
kop	shoot	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
vu	grandfather	vu	grandfather	vu	grandfather	kʰuk	knee	tʰak	kick
ru	untie	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰur	sour
wat	angry (hear is bursting)	lwe	forget	ði	water	si	buffalo	va	grandmother
tʰɐ	bile	hivu	uncle (fathers sisters husband)	wat	angry (hear is bursting)	lwe	forget	rɐŋ	alive/be living
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry	tʰuk	deep
rɐk	louse	rɐk	louse	rɐk	louse	tʰeŋ	dry	tʰur	sour
hivu	uncle (fathers sisters husband)	wat	angry (hear is bursting)	lwe	forget	ði	water	rɐŋ	alive/be living
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
kʰuk	knee	kʰuk	knee	kʰuk	knee	wat	angry (hear is bursting)	lwe	forget
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰur	sour	tʰuk	deep
sɐ	scoop out	sɐ	scoop out	sɐ	scoop out	tʰeŋ	dry	tʰur	sour
kwi	twenty	kwi	twenty	kwi	twenty	tʰok	fast/quick	tʰak	kick
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry	tʰur	sour
sɐ	die	hivu	uncle (fathers sisters husband)	wat	angry (hear is bursting)	lwe	forget	rɐŋ	alive/be living
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
li	squirrel	li	squirrel	li	squirrel	kʰuk	knee	tʰok	fast/quick
rɐ	bone	rɐ	bone	rɐ	bone	tʰok	fast/quick	tʰak	kick
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
fu	elephant	fu	elephant	fu	elephant	fu	elephant	tʰok	fast/quick
tɕe	burn	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
kon	cross	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
nwe	near	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
fu	bamboo	fu	bamboo	fu	bamboo	kʰuk	knee	tʰok	fast/quick
kʰuk	knee	kʰum	back	pʰɐn	belly/abdomen (external bulge)	kʰur	cave	kʰwe	fish
sɐ	blood	sɐ	blood	sɐ	blood	kʰuk	knee	tʰok	fast/quick
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
kʰuk	knee	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
pʰɐn	belly/abdomen (external bulge)	kʰwe	fish	kʰak	breath	kʰok	basket	kʰaw	shoulder bag
ʃe	emerge	ʃe	emerge	tʰeŋ	dry	tʰur	sour	tʰar	new
vu	father-in-law	vu	father-in-law	kʰuk	knee	tʰak	kick	tʰɐk	lung/chest
vɐn	flower	vɐn	flower	vɐn	flower	kʰuk	knee	tʰak	kick
hivu	uncle (fathers sisters husband)	wat	angry (hear is bursting)	lwe	forget	rɐŋ	alive/be living	rɐt	heavy
tɕe	burn	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
mɐk	eye	tʰeŋ	dry	tʰur	sour	tʰar	new	tʰum	hide
car	white	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
pʰo	branch	lwe	forget	ði	water	si	buffalo	rɐt	heavy
kʰuk	knee	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
sor	old	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
kʰə	heavy	kʰə	heavy	rɐt	heavy	kʰuk	knee	tʰok	fast/quick
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry	tʰur	sour
nɐ	breast	nɐ	breast	nɐ	breast	tʰok	fast/quick	tʰak	kick
wat	angry (hear is bursting)	lwe	forget	ði	water	rɐŋ	alive/be living	si	buffalo
tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰar	new
hwi	dog	hwi	dog	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
rɐ	intestines	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
ruk	six	ruk	six	ruk	six	tʰeŋ	dry	tʰar	new
we	mother	we	mother	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
u	bird	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
ʃa	clan	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰur	sour
tʰeŋ	dry	tʰur	sour	tʰum	hide	kʰum	back	pʰɐn	belly/abdomen (external bulge)
ðar	uncle (fathers older brother)	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
kwe	horse	kwe	horse	kwe	horse	kwe	horse	kwe	horse
pi	leech	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
rop	rib	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
kʰə	laugh	kʰə	laugh	ni	laugh	tʰok	fast/quick	tʰak	kick
kwe	break	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
tʰar	clean	wat	angry (hear is bursting)	lwe	forget	ði	water	si	buffalo
vu	uncle (mothers brother)	hi	uncle (mothers brother)	kʰuk	knee	tʰak	kick	tʰɐk	lung/chest
tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰar	new
pʰi	calf (of leg)	kʰu	chin	lwe	forget	ði	water	rɐŋ	alive/be living
ðar	uncle (fathers older brother)	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
sɐ	comb	sɐ	comb	sɐ	comb	kʰuk	knee	tʰok	fast/quick
kʰuk	knee	kʰum	back	pʰɐn	belly/abdomen (external bulge)	kʰur	cave	kʰwe	fish
ʔi	I	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
ða	fall (from a height)	kʰuk	knee	kʰum	back	pʰɐn	belly/abdomen (external bulge)	kʰur	cave
wat	angry (hear is bursting)	ði	water	rɐŋ	alive/be living	si	buffalo	rɐt	heavy
nam	smell	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
we	eat (fruit)	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
rɐŋ	alive	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
mɐt	squeeze	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
pwe	fly	pwe	fly	pwe	fly	kʰuk	knee	tʰok	fast/quick
ke	cold	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry	tʰur	sour
pʰi	foot	pʰi	foot	pʰi	foot	wat	angry (hear is bursting)	ði	water
kʰuk	knee	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
li	tongue	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
ðɐ	grandchild	ðɐ	grandchild	ðɐ	grandchild	tʰok	fast/quick	tʰak	kick
tsɐ	horn	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
ʔu	he/she	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
tʰeŋ	dry	tʰur	sour	tʰar	new	tʰum	hide	kʰum	back
tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour	tʰuk	deep
a	come	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
wat	angry (hear is bursting)	ði	water	rɐŋ	alive/be living	si	buffalo	rɐt	heavy
tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰar	new
sɐ	blood	sɐ	blood	sɐ	blood	kʰuk	knee	tʰok	fast/quick
ðar	uncle (fathers older brother)	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
kʰuk	knee	kʰum	back	pʰɐn	belly/abdomen (external bulge)	kʰur	cave	kʰwe	fish
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
tʰeŋ	dry	tʰeŋ	dry	tʰeŋ	dry	wat	angry (hear is bursting)	ði	water
tʰeŋ	dry	tʰeŋ	dry	tʰeŋ	dry	wat	angry (hear is bursting)	ði	water
ʔa	medicine	ʔa	medicine	rɐ	medicine	kʰuk	knee	tʰok	fast/quick
ʃit	eight	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
ði	egg	ði	egg	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
lɐŋ	root	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰar	new
ðar	uncle (fathers older brother)	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
vu	great grandfather	vu	great grandfather	vu	great grandfather	vu	great grandfather	kʰuk	knee
kʰum	back	kʰum	back	kʰum	back	wat	angry (hear is bursting)	lwe	forget
se	thorn	se	thorn	se	thorn	kʰuk	knee	tʰok	fast/quick
ðɐk	black	ðɐk	black	ðɐk	black	kʰu	chin	wat	angry (hear is bursting)
kʰɐ	insect/bug/vermin	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
lwe	forget	ði	water	rɐŋ	alive/be living	si	buffalo	rɐt	heavy
nɐ	two	nɐ	two	nɐ	two	kʰuk	knee	tʰok	fast/quick
luŋ	stone	luŋ	stone	luŋ	stone	tʰok	fast/quick	tʰak	kick
pim	needle	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
vu	grandfather	vu	grandfather	vu	grandfather	kʰuk	knee	tʰak	kick
kʰə	heavy	kʰə	heavy	rɐt	heavy	kʰuk	knee	tʰok	fast/quick
hivu	uncle (fathers sisters husband)	wat	angry (hear is bursting)	lwe	forget	rɐŋ	alive/be living	rɐt	heavy
ði	water	ði	water	ði	water	ði	water	ði	water
kwe	horse	kwe	horse	kwe	horse	kwe	horse	kwe	horse
tʰeŋ	dry	tʰur	sour	tʰar	new	tʰum	hide	kʰum	back
tʰɐt	kill	lwe	forget	ði	water	si	buffalo	va	grandmother
so	long	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰur	sour
kʰu	chin	wat	angry (hear is bursting)	lwe	forget	kʰu	bitter	rɐt	heavy
tʰo	drive	lwe	forget	ði	water	rɐŋ	alive/be living	si	buffalo
u	bird	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
tsɐ	four	tsɐ	four	tsɐ	four	kʰuk	knee	kʰum	back
ʃi	decay	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
tʰum	hide	wat	angry (hear is bursting)	lwe	forget	ði	water	rɐŋ	alive/be living
fu	elephant	fu	elephant	fu	elephant	fu	elephant	tʰok	fast/quick
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
co	deer	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
nɐ	leaf	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
ðak	weave	ðak	weave	ðak	weave	ðak	weave	ðak	weave
vu	great grandfather	vu	great grandfather	vu	great grandfather	vu	great grandfather	kʰuk	knee
ji	leftside	ji	leftside	tʰeŋ	dry	tʰur	sour	tʰum	hide
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
tsɐ	horn	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
vu	uncle (mothers brother)	hi	uncle (mothers brother)	kʰuk	knee	tʰak	kick	tʰɐk	lung/chest
him	bear	him	bear	kʰuk	knee	tʰak	kick	tʰɐk	lung/chest
wat	angry (hear is bursting)	ði	water	rɐŋ	alive/be living	si	buffalo	rɐt	heavy
ðar	uncle (fathers older brother)	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
sam	hair (head)	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
tʰeŋ	dry	tʰeŋ	dry	tʰeŋ	dry	wat	angry (hear is bursting)	ði	water
kʰur	anus	wat	angry (hear is bursting)	lwe	forget	ði	water	rɐŋ	alive/be living
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry	tʰur	sour
hivu	uncle (fathers sisters husband)	wat	angry (hear is bursting)	lwe	forget	ði	water	rɐŋ	alive/be living
wuk	belly	wuk	belly	wat	angry (hear is bursting)	ði	water	rɐŋ	alive/be living
ri	crab	kʰu	crab	kʰu	crab	lwe	forget	ði	water
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
ðar	uncle (fathers older brother)	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
su	body	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
wat	angry (hear is bursting)	lwe	forget	rɐŋ	alive/be living	rɐt	heavy	va	grandmother
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry	tʰur	sour
ʃuŋ	arrive	ʃuŋ	arrive	ʃuŋ	arrive	tʰok	fast/quick	tʰak	kick
mor	mouth	kʰuk	knee	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
nɐŋ	stand	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰur	sour
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰur	sour
vu	father-in-law	vu	father-in-law	kʰuk	knee	tʰak	kick	tʰɐk	lung/chest
pʰi	foot	pʰi	foot	pʰi	foot	wat	angry (hear is bursting)	ði	water
tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰar	new
ham	pot	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
ðar	uncle (fathers older brother)	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
tʰeŋ	dry	tʰur	sour	tʰar	new	tʰum	hide	kʰum	back
ðak	weave	ðak	weave	ðak	weave	ðak	weave	ðak	weave
lɐk	armpit	tʰeŋ	dry	tʰur	sour	tʰar	new	tʰum	hide
kʰuk	knee	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
vu	grandfather	vu	grandfather	vu	grandfather	kʰuk	knee	tʰak	kick
ki	bite	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰur	sour
pon	arm	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰur	sour
kʰum	back	kʰur	cave	kʰwe	fish	kʰut	smoke	kʰaw	shoulder bag
ce	dig	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰar	new
kʰwe	fish	lwe	forget	ði	water	rɐŋ	alive/be living	si	buffalo
sam	run/flee	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰar	new
tɕap	weep	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰur	sour
kʰuk	knee	kʰum	back	pʰɐn	belly/abdomen (external bulge)	kʰur	cave	kʰwe	fish
hivu	uncle (fathers sisters husband)	wat	angry (hear is bursting)	lwe	forget	ði	water	rɐŋ	alive/be living
tsɐ	four	tsɐ	four	tsɐ	four	kʰuk	knee	kʰum	back
tʰeŋ	dry	tʰur	sour	tʰar	new	tʰum	hide	kʰum	back
aw	father	aw	father	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest
kʰwe	fish	lwe	forget	ði	water	rɐŋ	alive/be living	si	buffalo
kʰuk	knee	kʰum	back	pʰɐn	belly/abdomen (external bulge)	kʰur	cave	kʰwe	fish
lwe	forget	ði	water	rɐŋ	alive/be living	si	buffalo	rɐt	heavy
kʰuk	knee	kʰum	back	pʰɐn	belly/abdomen (external bulge)	kʰur	cave	kʰwe	fish
vu	uncle (mothers brother)	hi	uncle (mothers brother)	kʰuk	knee	tʰak	kick	tʰɐk	lung/chest
tek	green	kʰum	back	pʰɐn	belly/abdomen (external bulge)	kʰur	cave	kʰwe	fish
ʃe	emerge	ʃe	emerge	tʰeŋ	dry	tʰur	sour	tʰar	new
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
ðar	uncle (fathers older brother)	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰeŋ	dry
wor	sell	kʰuk	knee	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
tʰeŋ	dry	tʰar	new	pʰɐn	belly/abdomen (external bulge)	kʰwe	fish	tʰeŋ	dry
wuk	belly	wuk	belly	tʰeŋ	dry	tʰar	new	pʰɐn	belly/abdomen (external bulge)
kʰwe	fish	lwe	forget	ði	water	rɐŋ	alive/be living	si	buffalo
ki	kidney	ki	kidney	ki	kidney	tʰok	fast/quick	tʰak	kick
